WORD,VALIDITY,TYPE,BLOCK
rakash,non_word,hinglish_plain,I
hafan,non_word,hinglish_plain,I
gatat,non_word,hinglish_plain,I
bekaar  ,word,hinglish_matra,J
jeewan,word,hinglish_matra,J
grahak,word,hinglish_matra,J
shanti,word,hinglish_matra,J
prerana,word,hinglish_matra,J
basant  ,word,hinglish_matra,J
vikas,word,hinglish_matra,J
mithaai,word,hinglish_matra,J
ladka,word,hinglish_matra,J
dawaai,word,hinglish_matra,J
hangama,word,hinglish_matra,J
gulshan,word,hinglish_matra,J
chahiye,word,hinglish_matra,J
sardar,word,hinglish_matra,J
prayaas,word,hinglish_matra,J
dainik,word,hinglish_matra,J
parvati,word,hinglish_matra,J
vyakti,word,hinglish_matra,J
nibandh,word,hinglish_matra,J
prabhat,word,hinglish_matra,J
videshi,word,hinglish_matra,J
pasand,word,hinglish_matra,J
manzil,word,hinglish_matra,J
virodhi,word,hinglish_matra,J
prakash,word,hinglish_matra,J
dhaara,word,hinglish_matra,J
chanchal  ,word,hinglish_matra,J
vichaar,word,hinglish_matra,J
unka,word,hinglish_matra,J
sambandh,word,hinglish_matra,J
mahaul,word,hinglish_matra,J
niketan,word,hinglish_matra,J
mahila,word,hinglish_matra,J
dahej,word,hinglish_matra,J
naari,word,hinglish_matra,J
khilaaf,word,hinglish_matra,J
pradesh,word,hinglish_matra,J
anant,word,hinglish_matra,J
jawaan,word,hinglish_matra,J
mausam,word,hinglish_matra,J
hanshik,non_word,hinglish_matra,J
tatneek,non_word,hinglish_matra,J
kharbar,non_word,hinglish_matra,J
sandandh,non_word,hinglish_matra,J
uljham,non_word,hinglish_matra,J
saadham,non_word,hinglish_matra,J
nishtri,non_word,hinglish_matra,J
sadbhag,non_word,hinglish_matra,J
chindan,non_word,hinglish_matra,J
balbhan,non_word,hinglish_matra,J
saajash,non_word,hinglish_matra,J
banthak,non_word,hinglish_matra,J
asambham,non_word,hinglish_matra,J
gatli,non_word,hinglish_matra,J
sanbamdh,non_word,hinglish_matra,J
gamrah,non_word,hinglish_matra,J
khashar,non_word,hinglish_matra,J
bajdoor,non_word,hinglish_matra,J
drishdhi,non_word,hinglish_matra,J
prakeet,non_word,hinglish_matra,J
migan,non_word,hinglish_matra,J
saasish,non_word,hinglish_matra,J
hivaah,non_word,hinglish_matra,J
akidhari,non_word,hinglish_matra,J
tanrik,non_word,hinglish_matra,J
vaakas,non_word,hinglish_matra,J
ranjeeti,non_word,hinglish_matra,J
sandhaavana,non_word,hinglish_matra,J
nasamte,non_word,hinglish_matra,J
sandandh,non_word,hinglish_matra,J
nahenga,non_word,hinglish_matra,J
raskha,non_word,hinglish_matra,J
ashkar,non_word,hinglish_matra,J
anuhab,non_word,hinglish_matra,J
jyaan,non_word,hinglish_matra,J
muhina,non_word,hinglish_matra,J
saadish,non_word,hinglish_matra,J
dhyam,non_word,hinglish_matra,J
tantriksh,non_word,hinglish_matra,J
shatki,non_word,hinglish_matra,J
 asabhya,word,hinglish_half,K
 daftar,word,hinglish_half,K
asabhya,word,hinglish_half,K
takkar,word,hinglish_half,K
rahaysa,word,hinglish_half,K
dhanya,word,hinglish_half,K
 rahasya,word,hinglish_half,K
vyakti,word,hinglish_half,K
